order_id,user_id,restaurant_id,partner_id,order_date,amount,payment_method,delivery_time_min,order_status
1,210,4,3,6/1/2023 0:00,345,UPI,43,Delivered
2,306,90,47,6/1/2023 1:00,566,UPI,46,Delivered
3,270,9,62,6/1/2023 2:00,813,Debit Card,49,Delivered
4,192,5,14,6/1/2023 3:00,297,Credit Card,34,Delivered
5,175,56,63,6/1/2023 4:00,1150,Debit Card,57,Delivered
6,285,96,61,6/1/2023 5:00,513,UPI,53,Delivered
7,204,84,31,6/1/2023 6:00,551,UPI,46,Delivered
8,164,50,17,6/1/2023 7:00,755,Debit Card,39,Returned
9,251,75,24,6/1/2023 8:00,378,UPI,51,Delivered
10,227,15,23,6/1/2023 9:00,686,UPI,23,Delivered
11,436,32,50,6/1/2023 10:00,417,UPI,24,Delivered
12,381,28,78,6/1/2023 11:00,1184,UPI,27,Delivered
13,460,22,79,6/1/2023 12:00,1493,Debit Card,41,Delivered
14,7,17,79,6/1/2023 13:00,275,UPI,26,Delivered
15,29,59,70,6/1/2023 14:00,455,Credit Card,41,Delivered
16,395,90,27,6/1/2023 15:00,1262,UPI,49,Delivered
17,33,71,15,6/1/2023 16:00,777,Debit Card,56,Delivered
18,134,57,50,6/1/2023 17:00,838,UPI,35,Delivered
19,367,26,36,6/1/2023 18:00,1187,Credit Card,34,Delivered
20,79,25,8,6/1/2023 19:00,1430,Debit Card,24,Cancelled
21,416,10,79,6/1/2023 20:00,1382,UPI,22,Delivered
22,435,45,3,6/1/2023 21:00,430,Debit Card,42,Delivered
23,459,83,62,6/1/2023 22:00,592,Credit Card,29,Cancelled
24,58,11,47,6/1/2023 23:00,986,UPI,24,Delivered
25,471,77,77,6/2/2023 0:00,538,UPI,42,Delivered
26,26,53,61,6/2/2023 1:00,766,Cash,34,Returned
27,482,72,32,6/2/2023 2:00,296,Debit Card,37,Delivered
28,430,68,13,6/2/2023 3:00,1452,UPI,44,Delivered
29,226,95,1,6/2/2023 4:00,670,UPI,27,Cancelled
30,285,28,34,6/2/2023 5:00,779,Debit Card,50,Cancelled
31,4,75,62,6/2/2023 6:00,583,Credit Card,40,Delivered
32,465,65,79,6/2/2023 7:00,293,Debit Card,21,Delivered
33,99,49,78,6/2/2023 8:00,438,UPI,41,Delivered
34,397,47,71,6/2/2023 9:00,163,Debit Card,27,Delivered
35,489,52,31,6/2/2023 10:00,406,UPI,42,Delivered
36,39,88,64,6/2/2023 11:00,1380,UPI,51,Delivered
37,271,54,25,6/2/2023 12:00,1007,Credit Card,27,Delivered
38,375,60,38,6/2/2023 13:00,1092,Cash,23,Cancelled
39,285,57,14,6/2/2023 14:00,1345,UPI,49,Cancelled
40,157,47,8,6/2/2023 15:00,613,UPI,38,Returned
41,75,31,54,6/2/2023 16:00,419,Credit Card,42,Cancelled
42,372,46,2,6/2/2023 17:00,1394,Credit Card,37,Delivered
43,288,26,78,6/2/2023 18:00,1325,Debit Card,48,Delivered
44,130,5,56,6/2/2023 19:00,772,Debit Card,42,Delivered
45,175,84,61,6/2/2023 20:00,1356,UPI,52,Delivered
46,462,52,22,6/2/2023 21:00,221,Cash,37,Delivered
47,84,75,35,6/2/2023 22:00,1456,Debit Card,52,Delivered
48,22,54,16,6/2/2023 23:00,223,Debit Card,26,Cancelled
49,459,33,50,6/3/2023 0:00,504,Credit Card,47,Delivered
50,27,50,43,6/3/2023 1:00,646,Debit Card,20,Delivered
51,195,38,17,6/3/2023 2:00,1137,UPI,58,Delivered
52,337,27,80,6/3/2023 3:00,729,UPI,53,Delivered
53,382,98,58,6/3/2023 4:00,1059,Debit Card,58,Delivered
54,236,15,2,6/3/2023 5:00,522,UPI,38,Delivered
55,440,96,4,6/3/2023 6:00,511,UPI,50,Delivered
56,92,61,39,6/3/2023 7:00,242,Debit Card,32,Delivered
57,477,21,6,6/3/2023 8:00,1494,Debit Card,43,Delivered
58,21,46,69,6/3/2023 9:00,473,UPI,24,Delivered
59,303,69,69,6/3/2023 10:00,533,Debit Card,42,Returned
60,464,6,20,6/3/2023 11:00,724,Credit Card,38,Delivered
61,357,38,64,6/3/2023 12:00,885,Credit Card,20,Cancelled
62,443,62,16,6/3/2023 13:00,886,Debit Card,52,Delivered
63,84,86,51,6/3/2023 14:00,495,UPI,52,Delivered
64,262,62,37,6/3/2023 15:00,1276,UPI,51,Delivered
65,147,82,73,6/3/2023 16:00,1388,UPI,47,Delivered
66,441,78,69,6/3/2023 17:00,1365,Credit Card,56,Delivered
67,453,74,42,6/3/2023 18:00,868,Credit Card,31,Delivered
68,387,46,57,6/3/2023 19:00,930,Debit Card,28,Returned
69,257,13,66,6/3/2023 20:00,1169,Debit Card,30,Delivered
70,58,95,9,6/3/2023 21:00,1367,Credit Card,52,Delivered
71,380,94,64,6/3/2023 22:00,813,Debit Card,38,Delivered
72,422,3,22,6/3/2023 23:00,749,UPI,53,Delivered
73,15,94,34,6/4/2023 0:00,160,UPI,26,Delivered
74,162,6,55,6/4/2023 1:00,336,Debit Card,50,Delivered
75,445,93,29,6/4/2023 2:00,875,UPI,21,Delivered
76,163,8,38,6/4/2023 3:00,1188,UPI,38,Delivered
77,320,44,18,6/4/2023 4:00,927,Credit Card,57,Delivered
78,497,33,71,6/4/2023 5:00,1470,UPI,51,Delivered
79,281,81,65,6/4/2023 6:00,560,Debit Card,29,Delivered
80,280,75,1,6/4/2023 7:00,1105,UPI,27,Delivered
81,12,77,4,6/4/2023 8:00,734,UPI,45,Delivered
82,274,50,4,6/4/2023 9:00,1225,UPI,49,Delivered
83,271,11,27,6/4/2023 10:00,1201,Credit Card,30,Delivered
84,492,95,43,6/4/2023 11:00,726,UPI,39,Delivered
85,208,28,59,6/4/2023 12:00,1190,Credit Card,39,Delivered
86,27,70,32,6/4/2023 13:00,1402,Debit Card,28,Delivered
87,72,41,33,6/4/2023 14:00,1138,Cash,27,Delivered
88,60,16,28,6/4/2023 15:00,1383,UPI,34,Delivered
89,430,68,55,6/4/2023 16:00,1467,UPI,53,Delivered
90,473,99,60,6/4/2023 17:00,892,Credit Card,43,Delivered
91,145,48,70,6/4/2023 18:00,1277,Cash,52,Delivered
92,93,56,62,6/4/2023 19:00,353,Cash,59,Delivered
93,309,64,80,6/4/2023 20:00,1226,UPI,46,Delivered
94,8,59,34,6/4/2023 21:00,1123,Debit Card,40,Delivered
95,79,90,56,6/4/2023 22:00,1089,UPI,24,Delivered
96,27,62,13,6/4/2023 23:00,1227,UPI,54,Delivered
97,174,76,56,6/5/2023 0:00,1449,UPI,40,Delivered
98,50,11,18,6/5/2023 1:00,1204,UPI,23,Delivered
99,500,89,54,6/5/2023 2:00,1308,UPI,35,Delivered
100,199,18,77,6/5/2023 3:00,1231,UPI,50,Delivered
101,387,19,43,6/5/2023 4:00,254,Credit Card,45,Delivered
102,349,87,39,6/5/2023 5:00,1439,UPI,54,Delivered
103,448,55,61,6/5/2023 6:00,402,Credit Card,25,Delivered
104,428,82,42,6/5/2023 7:00,444,UPI,52,Delivered
105,181,26,79,6/5/2023 8:00,817,UPI,40,Delivered
106,24,6,18,6/5/2023 9:00,1331,UPI,35,Returned
107,316,4,23,6/5/2023 10:00,698,UPI,58,Delivered
108,378,29,54,6/5/2023 11:00,780,Credit Card,53,Delivered
109,387,59,30,6/5/2023 12:00,1240,UPI,34,Delivered
110,404,98,58,6/5/2023 13:00,448,Credit Card,25,Delivered
111,46,17,68,6/5/2023 14:00,250,UPI,21,Delivered
112,15,43,67,6/5/2023 15:00,1229,Credit Card,43,Delivered
113,153,80,71,6/5/2023 16:00,481,Debit Card,47,Delivered
114,222,66,18,6/5/2023 17:00,985,UPI,20,Cancelled
115,206,34,7,6/5/2023 18:00,542,UPI,20,Delivered
116,455,8,40,6/5/2023 19:00,1023,UPI,47,Delivered
117,273,13,70,6/5/2023 20:00,530,Credit Card,55,Delivered
